path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Knife Party - Internet Friends (Hardwell Original Mix Edit).mp3,Internet Friends (Hardwell Original Mix Edit),Knife Party,,,290926,5qFL2uwfnGU8FccwLMgPNQ,https://open.spotify.com/track/6toQdWWc4noiOk3Eo5mVDS,0.975,Beat Box 3 (feat. DaBaby),"SpotemGottem, DaBaby"
Koen Groeneveld - Jetblast (OUT NOW).mp3,Jetblast,Koen Groeneveld,,,171807,2mNQT9sJlojkxmyZPELhVc,https://open.spotify.com/track/2mNQT9sJlojkxmyZPELhVc,0.9,Jetblast,Koen Groeneveld
Lady Lago - Star Chaser (Club Mix).mp3,Star Chaser (Club Mix),Lady Lago,,,332643,4GI5z55l6yh2TEu9fASg74,https://open.spotify.com/track/11hQvcLydGTyXS3Wo6AkmW,0.658,Wasted (feat. Plies),"Gucci Mane, Plies"
Lana Del Rey vs Cedric Gervais - Young & Beautiful (Remix) [Official Music Video].mp3,Young & Beautiful,Lana Del Rey vs Cedric Gervais,,,232490,2nMeu6UenVvwUktBCpLMK9,https://open.spotify.com/track/4O1etEzE7zc8ZO80KNd5GZ,0.658,Every Girl Gets Her Wish,Saint Avangeline
Lexy & K-Paul - If I gave you my digits (Lexy rmx).mp3,If I gave you my digits (Lexy rmx),Lexy & K-Paul,,,394397,04PWLu7ROateUZ4a0PdQFT,https://open.spotify.com/track/04PWLu7ROateUZ4a0PdQFT,0.7,If I Gave You My Digits - Lexy Rmx,"Lexy & K-Paul, Data MC"
LMFAO (ft Natalia Kills) - Champagne Showers.mp3,Champagne Showers,LMFAO (ft Natalia Kills),,,270132,2qjC1EExeYdtxxQ9eGnkU1,https://open.spotify.com/track/2qjC1EExeYdtxxQ9eGnkU1,0.6,Champagne Showers (made popular by LMFAO ft. Natalia Kills) [backing version],Party Tyme
LMFAO - Champagne Showers ft. Natalia Kills.mp3,Champagne Showers ft. Natalia Kills,LMFAO,,,401215,4HWwREvQJ7k72g0KPdZMqj,https://open.spotify.com/track/4HWwREvQJ7k72g0KPdZMqj,0.4,Champagne Showers (In the Style of Lmfao Ft. Natalia Kills) [Karaoke Version],Mr. Entertainer Karaoke
LMFAO - Sexy and I Know It.mp3,Sexy and I Know It,LMFAO,,,203624,70Vdd1gx5tn84jkAU31ASv,https://open.spotify.com/track/70Vdd1gx5tn84jkAU31ASv,0.95,Sexy And I Know It,LMFAO
LMFAO - Shots ft. Lil Jon.mp3,Shots ft. Lil Jon,LMFAO,,,253127,1V4jC0vJ5525lEF1bFgPX2,https://open.spotify.com/track/1V4jC0vJ5525lEF1bFgPX2,0.6,Shots,"LMFAO, Lil Jon"
Loleatta Holloway - Love Sensation - WhiteNoize Remix - Ultra Records.mp3,Love Sensation - WhiteNoize Remix - Ultra Records,Loleatta Holloway,,,384157,46wyp7ufFj7sYUluEQhsXt,https://open.spotify.com/track/46wyp7ufFj7sYUluEQhsXt,0.8,Love Sensation - WhiteNoize Remix,Loleatta Holloway
Lost Frequencies ft. The NGHBRS - Like I Love You (Official Music Video).mp3,Like I Love You,Lost Frequencies ft. The NGHBRS,,,190171,1o41lANxFtrJFG5FuTmHfQ,https://open.spotify.com/track/1o41lANxFtrJFG5FuTmHfQ,0.7,Like I Love You,"Lost Frequencies, The NGHBRS"
Loui & Scibi Feat. Nuwella - Your Love (Original Mix).mp3,Your Love,Loui & Scibi Feat. Nuwella,,,312633,0HYDwQQotXQRRabS2Odisw,https://open.spotify.com/track/6PYNi1stqAsJWn8MecB50j,0.762,Show Me Your Love,"SOVI, Anya Pergin"
MAKJ & M35 - Revolution (Original Mix).mp3,Revolution,MAKJ & M35,,,246204,0L21teXilSCk8frpVHwXw1,https://open.spotify.com/track/0L21teXilSCk8frpVHwXw1,0.6,Revolution,"MAKJ, M35"
Marcel Woods & Allure - Ready (OUT NOW!).mp3,Ready,Marcel Woods & Allure,,,371879,5xxtBuUTuKv2ihTj0017nr,https://open.spotify.com/track/5xxtBuUTuKv2ihTj0017nr,0.667,Ready - Original Mix,"Marcel Woods, Allure"
Markus Gardeweg feat. Michael Feiner - Fairplay (Let There Be Love) (D.O.N.S & DBN Remix) - Copy (1).mp3,Fairplay (Let There Be Love) (D.O.N.S & DBN Remix) - Copy (1),Markus Gardeweg feat. Michael Feiner,,,487105,5nyMhaT0Pc4KZKZSNUFl0f,https://open.spotify.com/track/15JWzfxVtT2CSobE4H39FL,0.622,Fairplay (Let There Be Love) [feat. Michael Feiner] - D.O.N.S. & DBN Remix,"Markus Gardeweg, Michael Feiner"
Martin Garrix & Jay Hardway - Error 404 (Original Mix).mp3,Error 404,Martin Garrix & Jay Hardway,,,332487,5aV5iYxffs73u7Y3mWSZjj,https://open.spotify.com/track/5aV5iYxffs73u7Y3mWSZjj,0.7,Error 404,"Martin Garrix, Jay Hardway"
Martin Garrix & Jay Hardway - Wizard (Official Music Video) [OUT NOW].mp3,Wizard,Martin Garrix & Jay Hardway,,,217156,2GQfPDsehPE2zx5nr7jr4U,https://open.spotify.com/track/2GQfPDsehPE2zx5nr7jr4U,0.6,Wizard,"Martin Garrix, Jay Hardway"
Martin Solveig - All Stars (Official Video) ft. ALMA.mp3,All Stars ft. ALMA,Martin Solveig,,,176614,6CVx0YQCrtZQ9GNz2TDCnm,https://open.spotify.com/track/6CVx0YQCrtZQ9GNz2TDCnm,0.3,Someday,Martin Solveig
Martin Solveig - The Night Out [Official Video HD].mp3,The Night Out,Martin Solveig,,,215719,7xUL8r3jqftyk8qV6VCe8p,https://open.spotify.com/track/7xUL8r3jqftyk8qV6VCe8p,0.75,The Night Out - Madeon Remix,Martin Solveig
