path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Favorites/Caribou - Your Love Will Set You Free (c2's Set U Free Remix).mp3,Your Love Will Set You Free (c2's Set U Free Remix),Caribou,,,402312,2MARVRoAyo476CmEKqBWuP,https://open.spotify.com/track/5M9Tx6SFuvilenL6AimYdX,1.000,Fotspor - Todd Terje Disco Mix,"Holm CPU, Todd Terje"
Favorites/Cedric Gervais & Willy Monfret - Make Me Feel (Radio Edit).mp3,Make Me Feel,Cedric Gervais & Willy Monfret,,,211618,7sjZHZKmXoH2Il1iwiiEVZ,https://open.spotify.com/track/7sjZHZKmXoH2Il1iwiiEVZ,0.65,Make Me Feel,"Cedric Gervais, Willy Monfret"
Favorites/Charlie Puth - How Long (EDX's Dubai Skyline Remix).mp3,How Long (EDX's Dubai Skyline Remix),Charlie Puth,,,192731,2cmWjJEB9PydEc1eIHbOHX,https://open.spotify.com/track/2cmWjJEB9PydEc1eIHbOHX,0.7,How Long - EDX's Dubai Skyline Remix,"Charlie Puth, EDX"
Favorites/Chocolate Puma x Pep & Rash - The Stars Are Mine (Official Music Video) - Copy (1).mp3,The Stars Are Mine - Copy (1),Chocolate Puma x Pep & Rash,,,259344,0qF7Piw3F3mLJ1ni5Iw0bb,https://open.spotify.com/track/0qF7Piw3F3mLJ1ni5Iw0bb,0.755,The Stars Are Mine,"Chocolate Puma, Pep & Rash"
Favorites/Chris Malinchak - So Good To Me.mp3,So Good To Me,Chris Malinchak,,,309838,1mGGVB5nDxGObTP26RhjyT,https://open.spotify.com/track/1mGGVB5nDxGObTP26RhjyT,0.9,So Good to Me,Chris Malinchak
Favorites/CID - Love Is Blind (Official Music Video).mp3,Love Is Blind,CID,,,203703,1af3k8RVWvaG3hA3t4vPay,https://open.spotify.com/track/1af3k8RVWvaG3hA3t4vPay,0.8,Love Is Blind (feat. GLNNA),"CID, GLNNA"
Favorites/Codec & Flexor - Motions.mp3,Motions,Codec & Flexor,,,333087,6zHhgXDRpmIIld6589uuNM,https://open.spotify.com/track/6zHhgXDRpmIIld6589uuNM,1,Motions,Codec & Flexor
Favorites/Codec & Flexor - Time Has Changed.mp3,Time Has Changed,Codec & Flexor,,,407693,7FKxnUOiL2Ueq3eXsnjQnc,https://open.spotify.com/track/7FKxnUOiL2Ueq3eXsnjQnc,0.95,Time Has Changed,Codec & Flexor
Favorites/Dada Life - Do It Till Your Face Hurts (Music Video).mp3,Do It Till Your Face Hurts,Dada Life,,,174367,63AHJmstF3HB05rzMTwmFx,https://open.spotify.com/track/1l8Pv9SFF7ts5odswk3c51,1.000,The Day Is Done (2006),"Stephen Paulus, Stephen Layton, The Choir Of Trinity College, Cambridge"
"Favorites/Daft Punk - Around the World  Harder, Better, Faster, Stronger (Official audio) - Copy (1).mp3","Around the World Harder, Better, Faster, Stronger - Copy (1)",Daft Punk,,,342596,5W3cjX2J3tjhG8zb6u0qHn,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn,0.7,"Harder, Better, Faster, Stronger",Daft Punk
"Favorites/Daft Punk - Around the World  Harder, Better, Faster, Stronger (Official audio).mp3","Around the World Harder, Better, Faster, Stronger",Daft Punk,,,342596,5RByQFt9Mlo8hDYJ921tCv,https://open.spotify.com/track/5RByQFt9Mlo8hDYJ921tCv,1.000,"Around the World / Harder, Better, Faster, Stronger",Daft Punk
Favorites/Daft Punk - One More Time (Guille Placencia & George Privatti Edit).mp3,One More Time (Guille Placencia & George Privatti Edit),Daft Punk,,,378227,0DiWol3AO6WpXZgp0goxAV,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV,0.9,One More Time,Daft Punk
Favorites/Dave Silcox - Slow Dance (ft. Takura).mp3,Slow Dance (ft. Takura),Dave Silcox,,,179540,5wMhgE5lEj2lDSA0eFF1BB,https://open.spotify.com/track/5wMhgE5lEj2lDSA0eFF1BB,0.9,Slow Dance,"Dave Silcox, Takura"
Favorites/David Zowie - House Every Weekend.mp3,House Every Weekend,David Zowie,,,181969,1uXIbRf2sJYzhjujs4KsK7,https://open.spotify.com/track/1uXIbRf2sJYzhjujs4KsK7,0.9,House Every Weekend,David Zowie
Favorites/Definition - Pretend To Fly (Original Mix) - Copy (1).mp3,Pretend To Fly - Copy (1),Definition,,,414851,5Zjeuj0ovxXfeooi9uSd3Q,https://open.spotify.com/track/0mvfStjGw5wbqxdxYM1ifq,0.990,Fly,Crematory
Favorites/Deniz Koyu - Atlantis (Official Audio).mp3,Atlantis,Deniz Koyu,,,227892,5N36pxghN02FAvkSFx3g9B,https://open.spotify.com/track/5N36pxghN02FAvkSFx3g9B,0.95,Atlantis,Deniz Koyu
